conjunction_id,creation_date,tca,miss_distance,relative_speed,relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,rel_pos_mag,rel_vel_mag,miss_distance_log,relative_speed_log,rel_pos_mag_log,rel_vel_mag_log,collision_probability,collision_max_probability,cluster,dbscan_label,iso_anomaly,object1_object_designator,object2_object_designator,object1_object_type,object2_object_type,object1_maneuverable,object2_maneuverable,anomaly_flag
10800060,54:41.9,36:00.3,24.29505791,1007.33368,-19.02655677,-15.04892088,-1.330397366,10.72319558,-76.46263606,1004.370261,24.29505791979086,1007.3336799779402,3.230609037126533,6.916054425598426,3.2306090375135987,6.916054425576548,1.06829e-05,0.00017951,0,-1,,42375,31620,DEBRIS,DEBRIS,NO,NO,True
10589577,23:22.9,50:21.8,71.70498623,9328.38664,-6.304052016,-55.78427452,44.60917724,13.96020066,-5727.31755,-7363.181114,71.70498622531692,9328.386640963525,4.286409968569929,9.14092455105873,4.286409968505517,9.140924551162009,1.20307e-05,0.001186743,0,0,,52831,53847,PAYLOAD,PAYLOAD,,,False
10402632,22:07.3,48:17.9,403.8718751,4689.156952,-22.2313302,-384.0551283,-122.9630751,-1.371309288,-1450.205062,4459.270828,403.87187504707373,4689.156951925515,6.003570659277083,8.453221326125579,6.00357065914636,8.453221326109698,1.31923e-05,0.001070695,0,0,,52289,53579,PAYLOAD,PAYLOAD,,,False
10763826,40:51.6,25:02.8,64.68792365,4143.808967,-0.911597738,62.66339246,-16.03108547,1.502013928,-1133.125622,-3985.872153,64.68792365177875,4143.808966559581,4.184915098093061,8.329611978931938,4.18491509812014,8.32961197882568,1.09944e-05,0.001085233,0,0,,48389,47578,PAYLOAD,PAYLOAD,,,False
10779350,27:05.0,43:36.8,227.6995278,14252.8083,-22.49738804,-75.73027644,213.5553036,14.90915597,-13401.29574,-4852.586397,227.69952774213067,14252.808303426498,5.432409036313006,9.564779399114919,5.432409036059969,9.56477939935531,1.90522e-05,0.001121913,0,0,,57189,47989,UNKNOWN,PAYLOAD,,,False
10698165,03:25.0,38:18.7,161.4862709,7497.410783,37.88883779,135.5823253,79.11816935,-0.034456801,-3716.53119,6511.417999,161.48627088433008,7497.410782739015,5.090593511431353,8.922446381471357,5.090593511334915,8.922446381436552,2.25094e-05,0.001252855,0,0,,53049,53485,PAYLOAD,PAYLOAD,,,False
10773077,45:55.3,27:17.2,152.0796095,12622.50663,17.10875249,-87.30045264,123.3455682,-52.38695822,-10447.10793,-7083.986532,152.07960953886558,12622.50663220336,5.0309581096004985,9.44331596041446,5.03095810985439,9.443315960589004,0.000136318,0.001504435,0,0,,58758,51285,PAYLOAD,ROCKET BODY,,NO,False
10529550,33:53.8,58:16.0,224.6340795,13014.05476,11.56206621,-114.7196392,-192.7853539,8.946604543,-11169.44085,6679.006834,224.63407949723666,13014.054757530424,5.418914569828723,9.473862024872753,5.418914569816476,9.473862024683006,1.09793e-05,0.001051987,0,0,,53469,53692,PAYLOAD,PAYLOAD,,,False
10542159,09:52.1,47:09.2,110.0313107,14892.48086,103.0001917,-1.338091083,38.67892652,11.53682372,-14868.40039,-846.4768062,110.03131070164852,14892.480862471783,4.709812239914086,9.608678870016549,4.709812239928934,9.608678870182514,5.3146e-05,0.002949368,0,0,,43078,55519,PAYLOAD,DEBRIS,,NO,False
10746771,42:05.1,50:15.6,89.58926383,13763.56772,12.58422198,38.54179072,79.8899488,-27.87875073,-12488.03711,5786.531634,89.58926383229641,13763.567721952115,4.506335705254536,9.52985301279735,4.506335705279885,9.52985301293917,2.08747e-05,0.001788174,0,0,,52486,13068,PAYLOAD,ROCKET BODY,,NO,False
10689087,59:32.9,48:27.9,253.7832446,14118.58937,15.05874545,90.4124753,-236.6532352,-24.56640175,-13142.23199,-5159.04066,253.7832445907876,14118.589367164397,5.540413162509101,9.5553184291796,5.540413162472944,9.555318428978772,2.11022e-05,0.001721136,0,0,,25655,53144,DEBRIS,PAYLOAD,NO,,False
10551820,32:27.7,52:25.0,139.325666,6983.45338,20.67446428,123.4980591,61.09367495,-8.525895775,-3209.879518,6202.033691,139.32566595436876,6983.453380332237,4.943965906942067,8.85144201236546,4.943965906616886,8.851442012413028,1.31819e-05,0.001128637,0,0,,51983,52270,PAYLOAD,PAYLOAD,,,False
10567989,11:13.3,32:41.6,107.7309544,14456.57227,-32.48573366,18.33204142,-101.0671653,-76.79028968,-14079.16419,-3280.810958,107.73095439951591,14456.572262459049,4.688876522677379,9.578973588809435,4.688876522672927,9.578973588287843,0.002286045,0.002369195,0,0,,27432,261,ROCKET BODY,DEBRIS,NO,NO,False
10756987,54:08.2,32:41.6,112.6054163,14456.60212,-5.791559627,24.5801775,-109.7371974,-76.77825602,-14079.1972,-3280.801147,112.60541630868015,14456.602120250867,4.732731183847641,9.578975653469298,4.732731183924047,9.57897565348665,0.002696057,0.003980587,0,0,,27432,261,ROCKET BODY,DEBRIS,NO,NO,False
10811328,49:15.8,32:41.6,138.255204,14456.61955,-18.24362688,24.73996608,-134.7946794,-76.79029976,-14079.21635,-3280.795468,138.2552040175161,14456.619545491745,4.936308249742844,9.578976859062685,4.9363082498686275,9.578976858750858,0.000124237,0.002121661,0,0,,27432,261,ROCKET BODY,DEBRIS,NO,NO,False
11051974,17:15.0,32:41.6,145.4842905,14456.60058,-13.88194002,33.2680376,-140.9475371,-76.79035426,-14079.19798,-3280.790703,145.48429055753672,14456.600573974323,4.98691819062544,9.578975546950938,4.9869181910182245,9.578975546534155,1.46731e-08,0.001362575,0,0,,27432,261,ROCKET BODY,DEBRIS,NO,NO,False
10814017,45:40.8,59:13.2,302.076886,4163.988396,7.491967293,289.8038356,-84.90024938,1.008909267,-1144.192015,-4003.70116,302.07688598629557,4163.988396198171,5.71398652249541,8.334468768522632,5.713986522450192,8.334468768570213,1.30225e-05,0.001252342,0,0,,47607,45196,PAYLOAD,PAYLOAD,,,False
11011498,23:41.7,05:37.5,32.58103806,13728.88593,4.393179325,12.65569872,-29.6994496,10.61892013,-12408.10421,-5875.469853,32.58103806228336,13728.885928624954,3.5139615642150748,9.527330190643019,3.51396156428307,9.527330190542868,5.15935e-05,0.00487287,0,0,,43813,51777,PAYLOAD,PAYLOAD,,,False
11025245,09:23.4,26:06.7,174.4184338,13709.59625,-6.0751471,-73.68054644,-157.9748706,-21.06592945,-12366.1159,5918.763665,174.4184338797662,13709.596257648898,5.16717417019698,9.525924261763864,5.167174170651699,9.525924262321746,5.66196e-05,0.004322894,0,0,,57190,53611,UNKNOWN,PAYLOAD,,,False
10963660,58:04.0,24:24.7,251.8273188,14495.87615,1.219703927,69.75311718,241.9711004,-6.899980243,-13887.94571,4153.95494,251.8273187380258,14495.876147966537,5.532706721307532,9.581688467267547,5.532706721062408,9.581688467127277,0.000388024,0.008639951,0,0,,47936,55677,PAYLOAD,PAYLOAD,,,False
10887017,56:47.4,01:30.5,498.4224432,4644.660284,-10.93091478,-474.8070421,-151.2075385,-4.817637253,-1419.882631,4422.304745,498.4224431392589,4644.660283927524,6.213452317164281,8.443688790553635,6.213452317042658,8.443688790538033,2.17488e-05,0.001859655,0,0,,54158,52486,PAYLOAD,PAYLOAD,,,False
